meera,word break,sentence break,japanese,root,parse,cognate,notes
まき,N/A,N/A,牧場,N/A,N/A,1,N/A
なんが,1.0,N/A,〜で,N/A,N/A,0,N/A
いき,1.0,N/A,行き,いく,〜い,0,N/A
つのー,N/A,N/A,角は,つぬ,〜や,1,N/A
ゆ,1.0,N/A,〜を,N/A,N/A,0,N/A
ふぉーん,N/A,N/A,食べる,ふぉー,〜う〜ん,1,食う
でぃ,1.0,N/A,〜と,N/A,N/A,0,N/A
すだ,N/A,N/A,した,すー,〜だ,1,N/A
すんが,1.0,N/A,〜けど,N/A,N/A,0,N/A
つぬ,N/A,N/A,角,N/A,N/A,1,N/A
や,1.0,N/A,〜は,N/A,N/A,0,N/A
こーさー,N/A,N/A,固く,こー,〜さー〜い,0,N/A
ぬ,1.0,N/A,〜ので,N/A,N/A,0,N/A
ふぉい,N/A,N/A,食べ,ふぉー,〜い,1,食う
ん,1.0,N/A,〜も,N/A,N/A,0,N/A
しらるぬ,N/A,1.0,できない,すー,〜あり〜ぬ,1,N/A
あんず,N/A,N/A,そうする,あんず,〜う,0,N/A
んけん,1.0,N/A,〜うち,N/A,N/A,0,N/A
うい,N/A,N/A,年寄り,N/A,N/A,1,老
がらさー,N/A,N/A,カラス,N/A,N/A,1,N/A
や,1.0,N/A,〜は,N/A,N/A,0,N/A
ちび,N/A,N/A,尻,N/A,N/A,0,N/A
から,1.0,N/A,から,N/A,N/A,1,N/A
きーて,1.0,N/A,来て,くー,〜い〜て,1,N/A
いつぃばん,1.0,N/A,一番,一番,N/A,1,N/A
んまさーる,1.0,N/A,美味しい,んま,〜さー〜う,1,うまい
うすぃ,N/A,N/A,牛,N/A,N/A,1,N/A
ぬ,1.0,N/A,〜の,N/A,N/A,1,N/A
みんたま,N/A,N/A,目玉,N/A,みん〜たま,1,N/A
ゆ,1.0,N/A,〜を,N/A,N/A,0,N/A
ぬぎ,1.0,N/A,脱ぎ,ぬぐ,〜い,1,N/A
ふぉい,1.0,N/A,食べた,ふぉー,〜い,1,食う
「,N/A,N/A,,,,,
だふぁーだふぁー,N/A,N/A,がぁーがぁー,N/A,N/A,0,N/A
」,N/A,N/A,,,,,
でぃ,1.0,N/A,〜と,N/A,N/A,0,N/A
なき,1.0,N/A,鳴き,なく,〜い,1,N/A
とぅび,1.0,N/A,飛び,とぅぶ,〜い,1,N/A
はった,N/A,N/A,行った,はる,〜た,0,N/A
ちょー,N/A,1.0,〜そうだ,N/A,N/A,0,N/A
